Miejscowoœæ;Powiat;Województwo
Barwiki;grajewski;podlaskie
Barwinek;kroœnieñski;podkarpackie
Barwino;s³upski;pomorskie
Barwino (goœcieradz);s³upski;pomorskie
Barwino (mielêcino);s³upski;pomorskie
Barwiny;olsztyñski;warmiñsko-mazurskie
Barycz;jaworski;dolnoœl¹skie
Barycz (bia³a Woda);brzozowski;podkarpackie
Barycz (bobrówka);brzozowski;podkarpackie
Barycz (grz¹dzielówka);brzozowski;podkarpackie
Barycz (jastrzêbówka);brzozowski;podkarpackie
Barycz (kozubówka);brzozowski;podkarpackie
Barycz (miasto);brzozowski;podkarpackie
Barycz (pocz¹tkówka);brzozowski;podkarpackie
Barycz (ryta Górka);brzozowski;podkarpackie
Barycz (stanclówka);brzozowski;podkarpackie
Barycz (wolanówka);brzozowski;podkarpackie
Barycz (wójcikówka);brzozowski;podkarpackie
Barycz Nowa;zwoleñski;mazowieckie
Barycz Stara;zwoleñski;mazowieckie
Barycz-kolonia;zwoleñski;mazowieckie
Baryczka;zwoleñski;mazowieckie
Barzkowice;stargardzki;zachodniopomorskie
Barzkowice (golinka);stargardzki;zachodniopomorskie
Barzkowice (luboñ);stargardzki;zachodniopomorskie
Barzowice;s³awieñski;zachodniopomorskie
Barzykowo;kolneñski;podlaskie
Barzyna;elbl¹ski;warmiñsko-mazurskie
Basin;grodziski;mazowieckie
Basinów;wyszkowski;mazowieckie
Basonia;opolski;lubelskie
Baszewice;gryficki;zachodniopomorskie
Baszki;lubelski;lubelskie
Baszków;krotoszyñski;wielkopolskie
Baszkówka;piaseczyñski;mazowieckie
Basznia Dolna;lubaczowski;podkarpackie
Basznia Górna;lubaczowski;podkarpackie
Baszowice;kielecki;œwiêtokrzyskie
Baszyn;wo³owski;dolnoœl¹skie
Baszyny;krotoszyñski;wielkopolskie
Baszyny (ugrzele);krotoszyñski;wielkopolskie
Baszyny (witki);krotoszyñski;wielkopolskie
Batkowo;inowroc³awski;kujawsko-pomorskie
Batogowo;makowski;mazowieckie
Batorowo;poznañski;wielkopolskie
Batorówko;z³otowski;wielkopolskie
Batorz;janowski;lubelskie
Batorz (batorz Drugi);janowski;lubelskie
Batorz (batorz Pierwszy);janowski;lubelskie
Batorz (batorz-kolonia);janowski;lubelskie
Batowice;krakowski;ma³opolskie
Batowo;pyrzycki;zachodniopomorskie
Batycze;przemyski;podkarpackie
Batyñ;œwidwiñski;zachodniopomorskie
Bawernica;bytowski;pomorskie
Bazar;œwidnicki;lubelskie
Bazar (popów);œwidnicki;lubelskie
Bazów;sandomierski;œwiêtokrzyskie
Bazylia;³êczycki;³ódzkie
Ba¿anowice;cieszyñski;œl¹skie
Ba¿anówka;sanocki;podkarpackie
Ba¿anówka (granicznik);sanocki;podkarpackie
Ba¿any;kluczborski;opolskie
Ba¿yny;lidzbarski;warmiñsko-mazurskie
B¹blin;obornicki;wielkopolskie
B¹blinek;obornicki;wielkopolskie
B¹bliniec;obornicki;wielkopolskie
B¹bolin;inowroc³awski;kujawsko-pomorskie
B¹bowo;mogileñski;kujawsko-pomorskie
B¹cka Huta;kartuski;pomorskie
B¹cz;kartuski;pomorskie
B¹cz (olszowe B³oto);kartuski;pomorskie
B¹cza-kunina;nowos¹decki;ma³opolskie
B¹czal Dolny;jasielski;podkarpackie
B¹czal Górny;jasielski;podkarpackie
B¹cza³ka;dêbicki;podkarpackie
B¹czek;starogardzki;pomorskie
B¹czki;garwoliñski;mazowieckie
B¹cznik;goleniowski;zachodniopomorskie
B¹czylas;gostyñski;wielkopolskie
B¹decz;pilski;wielkopolskie
B¹dki;i³awski;warmiñsko-mazurskie
B¹dki (czachówek);kwidzyñski;pomorskie
B¹dkowo;gryficki;zachodniopomorskie
B¹dkowo Jeziorne;p³ocki;mazowieckie
B¹dkowo Koœcielne;p³ocki;mazowieckie
B¹dkowo-podlasie;p³ocki;mazowieckie
B¹dkowo-rochny;p³ocki;mazowieckie
B¹dkowo-rumunki;p³ocki;mazowieckie
B¹dków;grójecki;mazowieckie
B¹dków Drugi;turecki;wielkopolskie
B¹dków Pierwszy;turecki;wielkopolskie
B¹dkówek;aleksandrowski;kujawsko-pomorskie
B¹dle;bartoszycki;warmiñsko-mazurskie
B¹dy;elbl¹ski;warmiñsko-mazurskie
B¹dze;bartoszycki;warmiñsko-mazurskie
B¹dzów;g³ogowski;dolnoœl¹skie
B¹dzów (golowice);g³ogowski;dolnoœl¹skie
B¹dzyn;¿uromiñski;mazowieckie
B¹dzyñ;³ódzki wschodni;³ódzkie
B¹gart;w¹brzeski;kujawsko-pomorskie
B¹k;koœcierski;pomorskie
B¹ki;poddêbicki;³ódzkie
B¹kowa;lipski;mazowieckie
B¹kowa Góra;piotrkowski;³ódzkie
B¹kowa Góra (fandulanka);piotrkowski;³ódzkie
B¹kowice;namys³owski;opolskie
B¹kowiec;kozienicki;mazowieckie
B¹kowo;pilski;wielkopolskie
B¹kowski M³yn;œwiecki;kujawsko-pomorskie
B¹ków;szyd³owiecki;mazowieckie
B¹ków Dolny;³owicki;³ódzkie
B¹ków Górny;³owicki;³ódzkie
B¹ków-kolonia;przysuski;mazowieckie
B¹kówka;piaseczyñski;mazowieckie
B¹sewice;lêborski;pomorskie
B¹sze;bartoszycki;warmiñsko-mazurskie
Bebelno-kolonia;w³oszczowski;œwiêtokrzyskie
Bebelno-wieœ;w³oszczowski;œwiêtokrzyskie
Becej³y;suwalski;podlaskie
Bechcice-kolonia;pabianicki;³ódzkie
Bechcice-parcela;pabianicki;³ódzkie
Bechcice-wieœ;pabianicki;³ódzkie
Bedlenki;œwiecki;kujawsko-pomorskie
Bedlenko;konecki;œwiêtokrzyskie
Bedlno;konecki;œwiêtokrzyskie
Bedlno (bedlno-kamieniec);kutnowski;³ódzkie
Bedlno Radzyñskie;radzyñski;lubelskie
Bednarka;gorlicki;ma³opolskie
Bednarka (bednarskie);gorlicki;ma³opolskie
Bednarki;ostródzki;warmiñsko-mazurskie
Bednary;¿yrardowski;mazowieckie
Bednary-kolonia;³owicki;³ódzkie
Bednary-wieœ;³owicki;³ódzkie
Bednarze;be³chatowski;³ódzkie
Bednarzówka;parczewski;lubelskie
Bedoñ Przykoœcielny;³ódzki wschodni;³ódzkie
Bedoñ-wieœ;³ódzki wschodni;³ódzkie
Begno;pu³tuski;mazowieckie
Bejdy;³osicki;mazowieckie
Bejsce;kazimierski;œwiêtokrzyskie
Bekiesza;³êczyñski;lubelskie
Beleñ;zduñskowolski;³ódzkie
Beleñ-kolonia;zduñskowolski;³ódzkie
Belêcin;wolsztyñski;wielkopolskie
Belfort;koœcierski;pomorskie
Belin;p³oñski;mazowieckie
Belno;gostyniñski;mazowieckie
Belny;koniñski;wielkopolskie
Belny (oœno Podleœne);koniñski;wielkopolskie
Belsk Du¿y;grójecki;mazowieckie
Belsk Ma³y;grójecki;mazowieckie
Belweder;kraœnicki;lubelskie
Be³chatów;be³chatowski;³ódzkie
Be³chatów (bugaj);be³chatowski;³ódzkie
Be³chów;³owicki;³ódzkie
Be³cz Górny;górowski;dolnoœl¹skie
Be³cz Ma³y;górowski;dolnoœl¹skie
Be³cz Wielki;górowski;dolnoœl¹skie
Be³cz¹c;radzyñski;lubelskie
Be³cze;zielonogórski;lubuskie
Be³cze (pólko);zielonogórski;lubuskie
Be³cze (sosnówka);zielonogórski;lubuskie
Be³czna;³obeski;zachodniopomorskie
Be³czyna;lwówecki;dolnoœl¹skie
Be³da;grajewski;podlaskie
Be³dno;bocheñski;ma³opolskie
Be³dów;zgierski;³ódzkie
Be³dów-krzywa Wieœ;zgierski;³ódzkie
Be³dów-krzywa Wieœ (jastrzêbiec);zgierski;³ódzkie
Be³ek;grójecki;mazowieckie
Be³k;jêdrzejowski;œwiêtokrzyskie
Be³szewo;radziejowski;kujawsko-pomorskie
Be³szewo-kolonia;radziejowski;kujawsko-pomorskie
Be³sznica;wodzis³awski;œl¹skie
Be³tno;œwidwiñski;zachodniopomorskie
Be³win;przemyski;podkarpackie
Be³win (cha³upki Be³wiñskie);przemyski;podkarpackie
Be³zów;kazimierski;œwiêtokrzyskie
Be³¿ec;tomaszowski;lubelskie
Be³¿yce;lubelski;lubelskie
Bemowizna;braniewski;warmiñsko-mazurskie
Bemowo Piskie;piski;warmiñsko-mazurskie
Bendorzyn;sierpecki;mazowieckie
Benenard;¿yrardowski;mazowieckie
Benewicze;wrzesiñski;wielkopolskie
Beniaminów;zduñskowolski;³ódzkie
Benice;krotoszyñski;wielkopolskie
Benignowo;s³upecki;wielkopolskie
Beniowa;bieszczadzki;podkarpackie
Benowo;kwidzyñski;pomorskie
Beradz;sandomierski;œwiêtokrzyskie
Berdychowo;leszczyñski;wielkopolskie
Berdychów;krotoszyñski;wielkopolskie
Berdyszcze;che³mski;lubelskie
Berejów;lubartowski;lubelskie
Beresie Du¿e;pajêczañski;³ódzkie
Beresie Ma³e;pajêczañski;³ódzkie
Berest;nowos¹decki;ma³opolskie
Bereœæ;zamojski;lubelskie
Bereza;bialski;lubelskie
Berezka;leski;podkarpackie
Berezówka;bialski;lubelskie
Berezyszcze;hajnowski;podlaskie
Bere¿ki;bieszczadzki;podkarpackie
Bere¿nica;hrubieszowski;lubelskie
Bere¿nica Wy¿na;leski;podkarpackie
Berkanowo;œwidwiñski;zachodniopomorskie
Berkowo;gnieŸnieñski;wielkopolskie
Berlinek;mogileñski;kujawsko-pomorskie
Bernacice;g³ubczycki;opolskie
Bernacice Górne;g³ubczycki;opolskie
Bernacki Most;hajnowski;podlaskie
Bernardowo;toruñski;kujawsko-pomorskie
Bernardów;be³chatowski;³ódzkie
Bernów;konecki;œwiêtokrzyskie
Bertowo;aleksandrowski;kujawsko-pomorskie
Berzyna;wolsztyñski;wielkopolskie
Ber¿a³owce;sejneñski;podlaskie
Ber¿niki;sejneñski;podlaskie
Besiekiery;³êczycki;³ódzkie
Besiekierz Nawojowy;zgierski;³ódzkie
Besiekierz Rudny;zgierski;³ódzkie
Besko;sanocki;podkarpackie
Bessów;bocheñski;ma³opolskie
Bestwin;krotoszyñski;wielkopolskie
Bestwina;bielski;œl¹skie
Bestwinka;bielski;œl¹skie
Bestwiny;miñski;mazowieckie
Beszowa;staszowski;œwiêtokrzyskie
Beszyce Górne;sandomierski;œwiêtokrzyskie
Beszyn;w³oc³awski;kujawsko-pomorskie
Beszyn (siemionki);w³oc³awski;kujawsko-pomorskie
Beszyno;p³oñski;mazowieckie
Betkowo;koœciañski;wielkopolskie
Bezek;che³mski;lubelskie
Bezek Dêbiñski;che³mski;lubelskie
Bezek-kolonia;che³mski;lubelskie
Bezledy;bartoszycki;warmiñsko-mazurskie
Bez³awecki Dwór;kêtrzyñski;warmiñsko-mazurskie
Bez³awki;kêtrzyñski;warmiñsko-mazurskie
Bez³awki (bertyny);kêtrzyñski;warmiñsko-mazurskie
Bez³awki (ma³a Bertynówka);kêtrzyñski;warmiñsko-mazurskie
Bez³awki (staniewo);kêtrzyñski;warmiñsko-mazurskie
Bez³awki (st¹p³awki);kêtrzyñski;warmiñsko-mazurskie
Bezmiechowa Dolna;leski;podkarpackie
Bezmiechowa Górna;leski;podkarpackie
Bezmoœcie;³obeski;zachodniopomorskie
Beznatka;kaliski;wielkopolskie
Beznatka (korek);kaliski;wielkopolskie
Beznazwa;turecki;wielkopolskie
Bezpraw;ko³obrzeski;zachodniopomorskie
Bezrzecze;policki;zachodniopomorskie
Bezula;wieruszowski;³ódzkie
Bezwola;radzyñski;lubelskie
Bezwola (górne);radzyñski;lubelskie
Bezwola (iski);radzyñski;lubelskie
Bezwola (rokosz);radzyñski;lubelskie
BeŸnik;przysuski;mazowieckie
Bêb³o;krakowski;ma³opolskie
Bêbnik¹t;obornicki;wielkopolskie
Bêbnowo;m³awski;mazowieckie
Bêbnów;wieluñski;³ódzkie
Bêbnówko;m³awski;mazowieckie
Bêczarka;myœlenicki;ma³opolskie
Bêczkowice;piotrkowski;³ódzkie
Bêczków;kielecki;œwiêtokrzyskie
Bêczków (górka);kielecki;œwiêtokrzyskie
Bêczków (komorniki Drugie);kielecki;œwiêtokrzyskie
Bêczków (komorniki Pierwsze);kielecki;œwiêtokrzyskie
Bêczków (niwy);kielecki;œwiêtokrzyskie
Bêczków (stara Wieœ);kielecki;œwiêtokrzyskie
Bêczno;goleniowski;zachodniopomorskie
Bêczyn;wadowicki;ma³opolskie
Bêækowo;grajewski;podlaskie
Bêdargowiec;choszczeñski;zachodniopomorskie
Bêdargowo;choszczeñski;zachodniopomorskie
Bêdgoszcz;pyrzycki;zachodniopomorskie
Bêdkowice;wroc³awski;dolnoœl¹skie
Bêdkowo;trzebnicki;dolnoœl¹skie
Bêdków;tomaszowski;³ódzkie
Bêdków-kolonia;tomaszowski;³ódzkie
Bêdlewo;poznañski;wielkopolskie
Bêdlino;drawski;zachodniopomorskie
Bêdomin;koœcierski;pomorskie
Bêdominek;koœcierski;pomorskie
Bêdominek (kula-m³yn);koœcierski;pomorskie
Bêdów;zielonogórski;lubuskie
Bêdzelin;³ódzki wschodni;³ódzkie
Bêdzeñ;lipnowski;kujawsko-pomorskie
Bêdziaki;kazimierski;œwiêtokrzyskie
Bêdziechowo;s³upski;pomorskie
Bêdziechów;turecki;wielkopolskie
Bêdziemyœl;ropczycko-sêdziszowski;podkarpackie
Bêdzienica;ropczycko-sêdziszowski;podkarpackie
Bêdzieszewo;kamieñski;zachodniopomorskie
Bêdzieszyn;ostrowski;wielkopolskie
Bêdzieszyna;brzeski;ma³opolskie
Bêdzimierz;s³upski;pomorskie
Bêdzin;bêdziñski;œl¹skie
Bêdzin (brzozowica);bêdziñski;œl¹skie
Bêdzin (grodziec);bêdziñski;œl¹skie
Bêdzin (ksawera);bêdziñski;œl¹skie
Bêdzin (³agisza);bêdziñski;œl¹skie
Bêdzin (ma³ob¹dz);bêdziñski;œl¹skie
Bêdzin (warpie);bêdziñski;œl¹skie
Bêdzinko;koszaliñski;zachodniopomorskie
Bêdzino;koszaliñski;zachodniopomorskie
Bêdziszewo;go³dapski;warmiñsko-mazurskie
Bêdzitowo;inowroc³awski;kujawsko-pomorskie
Bêdzitówek;inowroc³awski;kujawsko-pomorskie
Bêdzymin;¿uromiñski;mazowieckie
Bêdzyn;piotrkowski;³ódzkie
BêdŸmierowice;chojnicki;pomorskie
Bêglewo;czarnkowsko-trzcianecki;wielkopolskie
Bêsia;olsztyñski;warmiñsko-mazurskie
Bêtlewo;lipnowski;kujawsko-pomorskie
Biadacz;kluczborski;opolskie
Biadacz (brodnica);kluczborski;opolskie
Biadacz (kamienisko);kluczborski;opolskie
Biadacz (przybkowice);kluczborski;opolskie
Biadacz (wrzosy);kluczborski;opolskie
Biadaczew;sieradzki;³ódzkie
Biadaczka;lubartowski;lubelskie
Biadaszka;milicki;dolnoœl¹skie
Biadaszka (zwierzyniec);milicki;dolnoœl¹skie
Biadaszki;kêpiñski;wielkopolskie
Biadki;krotoszyñski;wielkopolskie
Biadoliny Rad³owskie;tarnowski;ma³opolskie
Biadoliny Szlacheckie;brzeski;ma³opolskie
Bialiki;kolneñski;podlaskie
Bialskie Pole;olecki;warmiñsko-mazurskie
Bia³a;bielski;podlaskie
Bia³a (adamki);radzyñski;lubelskie
Bia³a (bia³a Dolna);k³obucki;œl¹skie
Bia³a (bia³a Górna);k³obucki;œl¹skie
Bia³a (bia³a-parcela);p³ocki;mazowieckie
Bia³a (zarutki);radzyñski;lubelskie
Bia³a B³otna;zawierciañski;œl¹skie
Bia³a B³otna (browarek);zawierciañski;œl¹skie
Bia³a Druga;janowski;lubelskie
Bia³a Gi¿ycka;gi¿ycki;warmiñsko-mazurskie
Bia³a Góra;i³awski;warmiñsko-mazurskie
Bia³a Góra (zacisze);poddêbicki;³ódzkie
Bia³a Kêpa;koszaliñski;zachodniopomorskie
Bia³a Kolonia;koniñski;wielkopolskie
Bia³a Leœniczówka;elbl¹ski;warmiñsko-mazurskie
Bia³a Ni¿na;nowos¹decki;ma³opolskie
Bia³a Nyska;nyski;opolskie
Bia³a Olecka;olecki;warmiñsko-mazurskie
Bia³a Panieñska;koniñski;wielkopolskie
Bia³a Pierwsza;janowski;lubelskie
Bia³a Piska;piski;warmiñsko-mazurskie
Bia³a Podlaska;bia³a podlaska;lubelskie
Bia³a Rawska;rawski;³ódzkie
Bia³a Ró¿a;piotrkowski;³ódzkie
Bia³a Rz¹dowa;wieluñski;³ódzkie
Bia³a Stra¿;hajnowski;podlaskie
Bia³a Wielka;czêstochowski;œl¹skie
Bia³a Wieœ;grodziski;wielkopolskie
Bia³a Woda;suwalski;podlaskie
Bia³a Wola;lidzbarski;warmiñsko-mazurskie
Bia³a-kopiec;wieluñski;³ódzkie
Bia³a-parcela;wieluñski;³ódzkie
Bia³achowo;starogardzki;pomorskie
Bia³aczów;opoczyñski;³ódzkie
Bia³asy;sierpecki;mazowieckie
Bia³aszewo;grajewski;podlaskie
Bia³aszewo-kolonia;grajewski;podlaskie
Bia³awoda;lubelski;lubelskie
Bia³awy Ma³e;wo³owski;dolnoœl¹skie
Bia³awy Ma³e (bia³awy);wo³owski;dolnoœl¹skie
Bia³awy Ma³e (wêglewo);wo³owski;dolnoœl¹skie
Bia³awy Wielkie;wo³owski;dolnoœl¹skie
Bia³awy Wielkie (czaplice);wo³owski;dolnoœl¹skie
Bia³cz;miêdzychodzki;wielkopolskie
Bia³czyk;gorzowski;lubuskie
Bia³czyn;braniewski;warmiñsko-mazurskie
Bia³e;suwalski;podlaskie
Bia³e B³ota;œwiecki;kujawsko-pomorskie
Bia³e B³oto;chojnicki;pomorskie
Bia³e B³oto (holendry);oleœnicki;dolnoœl¹skie
Bia³e Jeziorki;go³dapski;warmiñsko-mazurskie
Bia³e Pi¹tkowo;wrzesiñski;wielkopolskie
Bia³e-giezki;ostrowski;mazowieckie
Bia³e-kwaczo³y;ostrowski;mazowieckie
Bia³e-kwaczo³y (bia³e-chorosze);ostrowski;mazowieckie
Bia³e-kwaczo³y (bia³e-figle);ostrowski;mazowieckie
Bia³e-misztale;ostrowski;mazowieckie
Bia³e-papie¿e;ostrowski;mazowieckie
Bia³e-szczepanowice;ostrowski;mazowieckie
Bia³e-zieje;ostrowski;mazowieckie
Bia³eb³oto-kobyla;wyszkowski;mazowieckie
Bia³eb³oto-kurza;wyszkowski;mazowieckie
Bia³eb³oto-stara Wieœ;wyszkowski;mazowieckie
Bia³ek;piotrkowski;³ódzkie
Bia³êciniec;s³awieñski;zachodniopomorskie
Bia³êcino;s³awieñski;zachodniopomorskie
Bia³êgi;gryfiñski;zachodniopomorskie
Bia³ê¿yce;wrzesiñski;wielkopolskie
Bia³ê¿yn;czarnkowsko-trzcianecki;wielkopolskie
Bia³ka;szczecinecki;zachodniopomorskie
Bia³ka Tatrzañska;tatrzañski;ma³opolskie
Bia³ka-kolonia;³êczyñski;lubelskie
Bia³ki;hajnowski;podlaskie
Bia³ki Dolne;rycki;lubelskie
Bia³ki Dolne (osmolice);rycki;lubelskie
Bia³ki Dolne (w¹wolnica);rycki;lubelskie
Bia³ki Górne;rycki;lubelskie
Bia³kowice;piotrkowski;³ódzkie
Bia³kowice (bia³kowice-m³yn);piotrkowski;³ódzkie
Bia³kowo;golubsko-dobrzyñski;kujawsko-pomorskie
Bia³ków;œredzki;dolnoœl¹skie
Bia³ków (nowiniec);¿arski;lubuskie
Bia³ków Górny;kolski;wielkopolskie
Bia³ków Górny (brzuwiec);kolski;wielkopolskie
Bia³ków Koœcielny;kolski;wielkopolskie
Bia³obiel;ostro³êcki;mazowieckie
Bia³ob³ocie;gorzowski;lubuskie
Bia³ob³ockie;sokólski;podlaskie
Bia³ob³ota;suwalski;podlaskie
Bia³ob³oty;pleszewski;wielkopolskie
Bia³oboki;przeworski;podkarpackie
Bia³oborze;buski;œwiêtokrzyskie
Bia³obrzeg;wrzesiñski;wielkopolskie
Bia³obrzeg Bli¿szy;ostro³êcki;mazowieckie
Bia³obrzeg Dalszy;ostro³êcki;mazowieckie
Bia³obrzeg Ratajski;wrzesiñski;wielkopolskie
Bia³obrzegi;soko³owski;mazowieckie
Bia³obrzegi (kmiecie);³añcucki;podkarpackie
Bia³obrzegi (nowe Bia³obrzegi);lubartowski;lubelskie
Bia³obrzegi (podem³ynie);³añcucki;podkarpackie
Bia³obrzegi (podlesie);³añcucki;podkarpackie
Bia³obrzegi (pod³¹cze);³añcucki;podkarpackie
Bia³obrzegi (zadworze);³añcucki;podkarpackie
Bia³obrzeskie;moniecki;podlaskie
Bia³obrzezie;strzeliñski;dolnoœl¹skie
Bia³ochowo;grudzi¹dzki;kujawsko-pomorskie
Bia³ocin;piotrkowski;³ódzkie
Bia³ogard;bia³ogardzki;zachodniopomorskie
Bia³ogarda;lêborski;pomorskie
Bia³ogorce;sokólski;podlaskie
Bia³ogóra;pucki;pomorskie
Bia³ogórne;rawski;³ódzkie
Bia³ogóry;sejneñski;podlaskie
Bia³ogórze;zgorzelecki;dolnoœl¹skie
Bia³ogórzynko;bia³ogardzki;zachodniopomorskie
Bia³ogórzyno;bia³ogardzki;zachodniopomorskie
Bia³ogr¹dy;grajewski;podlaskie
Bia³ojany;e³cki;warmiñsko-mazurskie
Bia³okosz (bia³okoszek);miêdzychodzki;wielkopolskie
Bia³okoszyce;miêdzychodzki;wielkopolskie
Bia³o³êka;g³ogowski;dolnoœl¹skie
Bia³opole;zgorzelecki;dolnoœl¹skie
Bia³orogi;suwalski;podlaskie
Bia³orzeczka;sejneñski;podlaskie
Bia³oskóry;sierpecki;mazowieckie
Bia³ostoczek;bia³ostocki;podlaskie
Bia³osuknia;moniecki;podlaskie
Bia³oœliwie;pilski;wielkopolskie
Bia³oœliwie (jañczyn);pilski;wielkopolskie
Bia³oœliwie (otylin);pilski;wielkopolskie
Bia³oœliwie (wymys³owo);pilski;wielkopolskie
Bia³otarsk;gostyniñski;mazowieckie
Bia³otul;mogileñski;kujawsko-pomorskie
Bia³ousy;sokólski;podlaskie
Bia³ow¹s;szczecinecki;zachodniopomorskie
Bia³owice;zielonogórski;lubuskie
Bia³owierœnie;sejneñski;podlaskie
Bia³owie¿a;hajnowski;podlaskie
Bia³owie¿a (opoczka);jêdrzejowski;œwiêtokrzyskie
Bia³owie¿a (podolany Drugie);hajnowski;podlaskie
Bia³owie¿a (podolany Pierwsze);hajnowski;podlaskie
Bia³owie¿a (siod³ary);nyski;opolskie
Bia³owie¿a (suliszów);nyski;opolskie
Bia³owie¿yn;lipnowski;kujawsko-pomorskie
Bia³owoda;opolski;lubelskie
Bia³owody;hrubieszowski;lubelskie
Bia³owola;zamojski;lubelskie
Bia³o¿ewin;¿niñski;kujawsko-pomorskie
Bia³uñ;stargardzki;zachodniopomorskie
Bia³usny Lasek;ostro³êcki;mazowieckie
Bia³utki;warszawski zachodni;mazowieckie
Bia³uty;sierpecki;mazowieckie
Bia³uty (bia³uty-kolonia);dzia³dowski;warmiñsko-mazurskie
Bia³y Bór;szczecinecki;zachodniopomorskie
Bia³y Bór (dalkowo);szczecinecki;zachodniopomorskie
Bia³y Bór (linowo);szczecinecki;zachodniopomorskie
Bia³y Bór (sokole);mielecki;podkarpackie
Bia³y Bukowiec;starogardzki;pomorskie
Bia³y Dunajec;tatrzañski;ma³opolskie
Bia³y Dwór;lidzbarski;warmiñsko-mazurskie
Bia³y Grunt;szczycieñski;warmiñsko-mazurskie
Bia³y Koœció³;strzeliñski;dolnoœl¹skie
Bia³y ³ug;zwoleñski;mazowieckie
Bia³y ³ug (bia³y ³ug-kolonia);konecki;œwiêtokrzyskie
Bia³y Zdrój;œwidwiñski;zachodniopomorskie
Bia³yka³;rawicki;wielkopolskie
Bia³ynin;skierniewicki;³ódzkie
Bia³ynin-latków;skierniewicki;³ódzkie
Bia³ynin-podbór;skierniewicki;³ódzkie
Bia³ynin-po³udnie;skierniewicki;³ódzkie
Bia³ystoczek;sokólski;podlaskie
Bia³ystok;bia³ystok;podlaskie
Bia³ystok (bia³ostoczek);bia³ystok;podlaskie
Bia³yszewo;sierpecki;mazowieckie
Bia³yszewo-towarzystwo;sierpecki;mazowieckie
Biardy;³ukowski;lubelskie
Bibiampol;sochaczewski;mazowieckie
Bibiampol (bibiampol-borki);sochaczewski;mazowieckie
Bibianki;ostrowski;wielkopolskie
Bibianna;turecki;wielkopolskie
Bibianów;zgierski;³ódzkie
Bibice;krakowski;ma³opolskie
Bichniów;w³oszczowski;œwiêtokrzyskie
Bicz;koniñski;wielkopolskie
Bicz-ostatki;koniñski;wielkopolskie
Biczyce Dolne;nowos¹decki;ma³opolskie
Biczyce Górne;nowos¹decki;ma³opolskie
Bidziny;opatowski;œwiêtokrzyskie
Bidziny (bidziny Poduchowne);opatowski;œwiêtokrzyskie
Bidziny (bidziny-folwark);opatowski;œwiêtokrzyskie
Bidziny (bidziny-kolonia);opatowski;œwiêtokrzyskie
Bidziny (du¿a Strona);opatowski;œwiêtokrzyskie
Bidziny (gaje);opatowski;œwiêtokrzyskie
Bidziny (ma³a Strona);opatowski;œwiêtokrzyskie
Biebrowo;wejherowski;pomorskie
Biebrza;grajewski;podlaskie
Biechowo;œwiecki;kujawsko-pomorskie
Biechów;nyski;opolskie
Biechów (godkowice);nyski;opolskie
Biechów (radowice);nyski;opolskie
Biechówko;wrzesiñski;wielkopolskie
Biecz;gorlicki;ma³opolskie
Bieczyno;gryficki;zachodniopomorskie
Bieczyno (bieczynko);gryficki;zachodniopomorskie
Bieczyny;koœciañski;wielkopolskie
Biedaczek;starogardzki;pomorskie
Biedaczów;le¿ajski;podkarpackie
Biedaszki;wêgorzewski;warmiñsko-mazurskie
Biedaszki Ma³e;kêtrzyñski;warmiñsko-mazurskie
Biedaszków Ma³y;trzebnicki;dolnoœl¹skie
Biedaszków Wielki;trzebnicki;dolnoœl¹skie
Biedaszków Wielki (trzy Cha³upy);trzebnicki;dolnoœl¹skie
