0;Miasto;Powiat;Województwo;Populacja;Obszar
230;Pionki;radomski;mazowieckie;19 382;18 km?
231;Sulejówek;miñski;mazowieckie;19 311;19 km?
232;Wadowice;wadowicki;ma³opolskie;19 309;10,5 km?
233;Pu³tusk;pu³tuski;mazowieckie;19 228;23 km?
234;Nak³o nad Noteci¹;nakielski;kujawsko-pomorskie;19 193;10,6 km?
235;Kêty;oœwiêcimski;ma³opolskie;19 104;23,1 km?
236;Gostynin;gostyniñski;mazowieckie;19 092;32 km?
237;Szamotu³y;szamotulski;wielkopolskie;19 020;11,1 km?
238;Sokó³ka;sokólski;podlaskie;18 765;18,6 km?
239;Soko³ów Podlaski;soko³owski;mazowieckie;18 720;18 km?
240;Pyskowice;gliwicki;œl¹skie;18 642;31 km?
241;Z³otów;z³otowski;wielkopolskie;18 593;12 km?
242;Hrubieszów;hrubieszowski;lubelskie;18 585;33 km?
243;Miêdzyrzecz;miêdzyrzecki;lubuskie;18 552;10,3 km?
244;Sierpc;sierpecki;mazowieckie;18 491;19 km?
245;Bogatynia;zgorzelecki;dolnoœl¹skie;18 486;59,9 km?
246;Strzelce Opolskie;strzelecki;opolskie;18 451;30 km?
247;Oborniki;obornicki;wielkopolskie;18 421;14,1 km?
248;Myœlenice;myœlenicki;ma³opolskie;18 365;30,2 km?
249;Kozienice;kozienicki;mazowieckie;18 277;10,5 km?
250;Kostrzyn nad Odr¹;gorzowski;lubuskie;18 155;46 km?
251;£añcut;³añcucki;podkarpackie;18 074;19 km?
252;£ask;³aski;³ódzkie;18 029;15,7 km?
253;Radlin;wodzis³awski;œl¹skie;17 984;13 km?
254;Rawa Mazowiecka;rawski;³ódzkie;17 819;14 km?
255;Konstantynów £ódzki;pabianicki;³ódzkie;17 804;27 km?
256;Pleszew;pleszewski;wielkopolskie;17 759;13,4 km?
257;Sulechów;zielonogórski;lubuskie;17 461;6,9 km?
258;Zielonka;wo³omiñski;mazowieckie;17 398;79 km?
259;Konstancin-Jeziorna;piaseczyñski;mazowieckie;17 391;17,7 km?
260;Braniewo;braniewski;warmiñsko-mazurskie;17 385;12 km?
261;Libi¹¿;chrzanowski;ma³opolskie;17 355;35,9 km?
262;Przasnysz;przasnyski;mazowieckie;17 326;25 km?
263;Trzcianka;czarnkowsko-trzcianecki;wielkopolskie;17 301;18,3 km?
264;Garwolin;garwoliñski;mazowieckie;17 146;22 km?
265;Miêdzyrzec Podlaski;bialski;lubelskie;17 117;21 km?
266;Brzesko;brzeski;ma³opolskie;17 097;11,8 km?
